date,time_ist,city,area,latitude,longitude,temp_c,rain_1h_mm,wind_kmh,visibility_m,aqi,dominant_pol,HRA,MRA,LRA,STM,WND,FOG,HTV,EQK,SAQ,MAQ,FLD,CRF,LDS,PND,WAR
2026-04-04,16:54:16 IST,Ahmedabad,Bopal,23.0333,72.4667,31.1,0,14.8,6000,70,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Ahmedabad,Chandkheda,23.1077,72.5801,31.0,0,14.8,6000,67,pm10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Ahmedabad,Gota,23.0853,72.5358,31.0,0,14.8,6000,67,pm10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Ahmedabad,Isanpur,22.9818,72.5935,31.1,0,14.8,6000,103,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Ahmedabad,Maninagar,22.9944,72.6025,31.0,0,14.8,6000,103,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Ahmedabad,Navrangpura,23.0366,72.5489,31.0,0,14.8,6000,55,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Ahmedabad,Prahladnagar,23.012,72.5106,31.1,0,14.8,6000,55,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Ahmedabad,Satellite,23.0276,72.522,31.0,0,14.8,6000,55,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Ahmedabad,Thaltej,23.05,72.5167,31.0,0,14.8,6000,55,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Ahmedabad,Vastrapur,23.035,72.5293,31.0,0,14.8,6000,55,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Bengaluru,Banashankari,12.9152,77.5736,31.1,0,5.5,8000,149,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Bengaluru,Electronic City,12.8399,77.677,30.9,0,5.5,8000,124,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Bengaluru,HSR Layout,12.9121,77.6446,31.4,0,5.5,8000,124,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Bengaluru,Indiranagar,12.9784,77.6408,30.9,0,20.9,8000,55,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Bengaluru,Jayanagar,12.9299,77.5826,31.0,0,5.5,8000,149,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Bengaluru,Koramangala,12.9352,77.6245,31.2,0,20.9,8000,124,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Bengaluru,Marathahalli,12.9569,77.7011,31.0,0,20.9,8000,55,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Bengaluru,Rajajinagar,12.9982,77.553,30.7,0,5.5,8000,81,pm10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Bengaluru,Whitefield,12.9698,77.7499,31.1,0,5.5,8000,55,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Bengaluru,Yelahanka,13.1007,77.5963,30.6,0,9.3,8000,121,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Chennai,Adyar,13.0033,80.2566,31.1,0,27.0,10000,56,pm10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Chennai,Anna Nagar,13.085,80.2101,31.4,0,16.1,10000,320,pm10,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2026-04-04,16:54:16 IST,Chennai,Chromepet,12.9516,80.1462,31.1,0,9.6,10000,68,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Chennai,Perambur,13.1067,80.2396,31.5,0,16.1,10000,90,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Chennai,Porur,13.0382,80.1565,32.4,0,27.8,6000,320,pm10,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2026-04-04,16:54:16 IST,Chennai,Sholinganallur,12.901,80.2279,32.1,0,27.8,6000,68,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Chennai,T. Nagar,13.0405,80.2337,31.3,0,4.8,10000,320,pm10,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2026-04-04,16:54:16 IST,Chennai,Tambaram,12.9249,80.1,31.3,0,9.6,10000,68,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Chennai,Thirumangalam,13.0854,80.1983,31.3,0,4.8,10000,320,pm10,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2026-04-04,16:54:16 IST,Chennai,Velachery,12.9806,80.2222,32.4,0,27.8,6000,56,pm10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Coimbatore,Ganapathy,11.0364,76.983,30.9,0,25.9,6000,85,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Coimbatore,Gandhipuram,11.0183,76.9664,30.8,0,25.9,6000,85,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Coimbatore,Hopes College,11.026,77.0126,30.9,0,25.9,6000,85,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Coimbatore,Kovaipudur,10.9255,76.9366,30.6,0,25.9,6000,85,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Coimbatore,Peelamedu,11.0253,77.0011,30.9,0,25.9,6000,85,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Coimbatore,RS Puram,11.0084,76.949,30.8,0,25.9,6000,85,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Coimbatore,Saibaba Colony,11.0298,76.9443,30.7,0,25.9,6000,85,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Coimbatore,Saravanampatti,11.0805,76.9961,30.8,0,25.9,6000,85,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Coimbatore,Singanallur,10.9997,77.0268,31.1,0,25.9,6000,85,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Coimbatore,Vadavalli,11.0175,76.9029,30.7,0,25.9,6000,85,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Delhi,Connaught Place,28.6304,77.2177,30.1,0,9.3,5000,164,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Delhi,Dwarka,28.5823,77.05,30.1,0,9.3,5000,104,pm10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Delhi,Janakpuri,28.6219,77.0878,30.1,0,9.3,5000,104,pm10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Delhi,Karol Bagh,28.6515,77.1906,30.0,0,9.3,5000,164,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Delhi,Lajpat Nagar,28.5677,77.2433,30.1,0,9.3,5000,76,pm10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Delhi,Noida Sector 18,28.5708,77.3204,30.2,0,8.6,10000,87,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Delhi,Pitampura,28.6981,77.1388,30.1,0,9.3,5000,137,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Delhi,Rohini,28.7366,77.113,30.1,0,9.3,5000,81,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Delhi,Saket,28.5246,77.2066,30.0,0,9.3,5000,84,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Delhi,Vasant Kunj,28.5293,77.1539,29.7,0,9.3,5000,84,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Hyderabad,Ameerpet,17.4375,78.4482,35.0,0,9.3,6000,101,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Hyderabad,Banjara Hills,17.4156,78.4347,34.6,0,9.3,6000,101,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Hyderabad,Gachibowli,17.4401,78.3489,34.5,0,9.3,6000,34,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Hyderabad,Hitech City,17.4474,78.3762,34.5,0,9.3,6000,34,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Hyderabad,Jubilee Hills,17.4313,78.4071,34.6,0,9.3,6000,78,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Hyderabad,Kukatpally,17.4849,78.3979,34.8,0,9.3,6000,78,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Hyderabad,LB Nagar,17.3457,78.5522,35.1,0,9.3,6000,161,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Hyderabad,Madhapur,17.4483,78.3915,34.8,0,9.3,6000,78,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Hyderabad,Miyapur,17.4968,78.3614,34.7,0,9.3,6000,34,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Hyderabad,Secunderabad,17.4399,78.4983,34.9,0,9.3,6000,101,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Jaipur,C-Scheme,26.9068,75.7997,28.7,0,7.4,5000,154,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Jaipur,Jagatpura,26.8156,75.8361,29.1,0,7.4,5000,89,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Jaipur,Malviya Nagar,26.8549,75.8242,28.8,0,7.4,5000,89,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Jaipur,Mansarovar,26.8624,75.7621,28.9,0,7.4,5000,154,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Jaipur,Pratap Nagar,26.8042,75.8198,29.1,0,7.4,5000,89,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Jaipur,Raja Park,26.8974,75.8285,28.5,0,7.4,5000,89,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Jaipur,Shyam Nagar,26.892,75.758,28.8,0,7.4,5000,154,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Jaipur,Sikar Road,26.9634,75.7725,28.6,0,7.4,5000,92,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Jaipur,Tonk Road,26.8377,75.7951,28.9,0,7.4,5000,89,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Jaipur,Vaishali Nagar,26.9149,75.7441,28.7,0,7.4,5000,92,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Kolkata,Ballygunge,22.528,88.3659,36.0,0,13.0,5000,151,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Kolkata,Barra Bazar,22.5833,88.3582,36.0,0,13.0,5000,155,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Kolkata,Behala,22.4937,88.3188,36.0,0,11.1,10000,130,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Kolkata,Dum Dum,22.6226,88.4222,36.0,0,13.0,5000,144,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Kolkata,Garia,22.4642,88.392,36.0,0,16.2,10000,157,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Kolkata,Howrah,22.5958,88.3264,36.0,0,13.0,5000,155,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Kolkata,New Town,22.5828,88.4554,36.0,0,13.0,5000,123,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Kolkata,Park Street,22.5513,88.3519,36.0,0,13.0,5000,152,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Kolkata,Salt Lake,22.5892,88.4116,36,0,13.0,5000,123,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Kolkata,Tollygunge,22.4947,88.3461,36.0,0,12.3,10000,130,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Mumbai,Andheri,19.1136,72.8697,30.9,0,25.9,6000,61,pm10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Mumbai,Bandra,19.0596,72.8295,29.9,0,25.9,5000,88,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Mumbai,Borivali,19.2307,72.8567,29.8,0,25.9,5000,53,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Mumbai,Dadar,19.0178,72.8478,31.0,0,25.9,6000,88,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Mumbai,Goregaon,19.1663,72.8526,29.9,0,25.9,5000,38,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Mumbai,Kandivali,19.2045,72.8361,29.9,0,25.9,5000,38,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Mumbai,Kurla,19.0728,72.8794,31,0,25.9,6000,154,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Mumbai,Malad,19.1805,72.8427,29.9,0,25.9,5000,38,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Mumbai,Powai,19.1176,72.906,30.8,0,25.9,6000,50,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Mumbai,Thane,19.2183,72.9781,31.0,0,25.9,6000,48,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Pune,Aundh,18.5606,73.8055,34.5,0,3.2,10000,62,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Pune,Baner,18.559,73.7868,34.3,0,3.2,10000,62,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Pune,Hadapsar,18.5089,73.9259,34.4,0,3.2,10000,62,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Pune,Hinjewadi,18.5913,73.7389,34.3,0,21.8,10000,62,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Pune,Koregaon Park,18.5362,73.8939,34.5,0,3.2,10000,62,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Pune,Kothrud,18.5074,73.8077,34.3,0,3.2,10000,62,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Pune,Pimpri,18.6279,73.8009,34.4,0,23.2,10000,62,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Pune,Shivajinagar,18.5314,73.8446,34.5,0,3.2,10000,62,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Pune,Viman Nagar,18.5679,73.9143,34.4,0,3.2,10000,62,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-04,16:54:16 IST,Pune,Wakad,18.5991,73.7634,34.4,0,21.8,10000,62,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
